text,label
takut hamil kak,afraid
ga lach tkt hamil,afraid
tkt,afraid
takut,afraid
takut kak,afraid
agar kamu tidak khawatir lagi sudah tidur ya,afraid
minder,afraid
pengen bilang iya takut km bilang tdk,afraid
ups ngga ena ma age tau d,afraid
serem,afraid
jangan ngetwit caci maki sebab jika umurmu panjang kau akan menyesal saat kelak membacanya,afraid
aku takut kamu buat aku malu,afraid
mo bilang nih yg ngetweet dah lansia dosa ga ya,afraid
kadang pernah mikir dia sayang aku ga sih dia peduli ga sih sama aku kalo tiba tiba aku ga ada kabar dicariin ga sih sama dia ga enak banget mikir kemana mana kek gini,afraid
wih mbaknya kesindir ya,afraid
berat ga kepegang aku,afraid
takut ga kepegang,afraid
malu ah qq,afraid
malu aku,afraid
seram,afraid
ragu,afraid
ragu,afraid
ga ah malu,afraid
maluuu,afraid
maluu,afraid
maluuu,afraid
maluuuuu,afraid
maluuu,afraid
malu2 yachh,afraid
maluuuuu,afraid
maluuuu,afraid
gajadi ah tar bebebku marah,afraid
mo ketawa tpi takut dosa tapi udh ketawa gmn dong,afraid
pertanyaan sulit,afraid
sulit,afraid
beban pikiran,afraid
ya mau gimana dong,afraid
mundur alon alon aku saingan pasti banyak,afraid
merinding gak yan,afraid
aku lbih suka ava serem,afraid
ehh engga ra engga,afraid
nanti aku takut di laporin ke polisi,afraid
kangen boleh gak sih aah gajadi deh takut aku doang yg kangen,afraid
ga berani,afraid
ga berani gue,afraid
ga berani ah,afraid
tidak berani,afraid
g brani,afraid
kagak berani gue,afraid
berani aja kagak,afraid
berani saja tidak,afraid
tidak berani suer,afraid
ga berani,afraid
gak berani,afraid
gak barani,afraid
ga berani ah,afraid
dimana dia nih ga balik balik,afraid
kemana dia nih,afraid
anaknya ketakutan,afraid
aduh liftnya macet,afraid
jangan meninggalkan jejeak,afraid
buyar buyar beb gaenak karo tonggo,afraid
mau ngedeket aja takut,afraid
takut malah reuwas kareureuhna keun,afraid
minder tempat nulis,afraid
jangan grogi cuy,afraid
grogi,afraid
aku takut kamu,afraid
eh jangan dibongkar malu,afraid
ga enak aku,afraid
ga enak mau minta tolong,afraid
takut ganggu,afraid
takut ganggu,afraid
gua ngeri you di islamin nik,afraid
kkn memang serem kenalan kentu ngilang,afraid
ngeri memang lpm terpadat lebih padat dari lalu lintas ibukota,afraid
nakutin,afraid
trend pamer saldo atm gasampe ke politikus soalny takut dipantau kpk,afraid
tiati you maren ada bom,afraid
hati hati ya di sana,afraid
gamau ikut aku minder,afraid
minder,afraid
ngeri2,afraid
tiba tiba dichat kamu nggak main kerumah ibu nyariin kamu loh,afraid
padahal tidak ada yang mendekati tapi bingung untuk membuka hati,afraid
pengin chat kamu duluan tapi takut dikira masih berharap memang iya sih,afraid
takut baper,afraid
anjir kesambet apa tadi admin gua ngetwit ginian,afraid
takut kualat,afraid
kaabuuuurrr,afraid
salah satu tantangan terberat dalam menjalani kehidupan di era globalisasi adalah membuka iketan plastik tukang somay,afraid
yatuhaaan sapa aja kaliii ngapain takuuut gapapa atuuuuh aku gak gigit maaah gapapa tepok aja pundak aku,afraid
takut gini main twitter pada bikin aliansi udah kaya topi jerami,afraid
kalo ada temen yang ngechat sesuatu di grup tapi ngga ada yang respon kadang suka kasian dan pengen bales tapi nanti kalo gue respon malah chat gue yang dicuekin dan jadi chat terakhir akhirnya ngga jadi maafkan aku teman,afraid
atut,afraid
atut anet,afraid
atut nih,afraid
aku pemalu,afraid
takut banget liatnya,afraid
degdegan gue besok mau nonton aqua band masa kecilku kesampean nonton foto bareng boleh ga sih foto bareng,afraid
degdegan,afraid
deg degan,afraid
ampuuuun mas,afraid
ampun,afraid
ampun ampun,afraid
yang di gi lebih menyenangkan deh walau kasirnya agak judes tp aku suka sambil senyum duluan takutnya memang dia lagi bad day ajaa,afraid
hati2 komennya dibaca sama pihak watson atau kantor kamu nanti malah berabe,afraid
berabe,afraid
atut ada zombi,afraid
takut hantu,afraid
owalahhh takut salah tag,afraid
tut atut,afraid
semoga ga amit amit ya allah,afraid
semoga ga nular,afraid
semoga ga nyampe sini ya allah,afraid
semoga ga nyampe sini ya allah,afraid
semoga ga ada gempa lagi,afraid
malu sama umur,afraid
masih gerogi sampe bingung mau lewat mana,afraid
seperti gengsi di tengah kerinduan,afraid
ekstrim,afraid
hah astaga kenapa sakit apa,afraid
malu,afraid
anjis gw juga malu gini tadi ke babang2 gramedia dia abis itu mesem2 pula,afraid
ikal nulis buku lang leav deg2an,afraid
paling ntar aku yg malu,afraid
kabur,afraid
belum 5 detik nonton kunto aji yang pilu membiru experience langsung merinding mas kameramennya gak ada kepalanya,afraid
gausah ngagetin ntar copot kepala ku,afraid
bobo ah ada om ded,afraid
aslik ampe takut gue penyebar hoax,afraid
waw capa nih ada hubungan apa sama bernad hanya ingin tau saja takut salah berucap,afraid
awas di jalan magelang nanti ada polis,afraid
hati hati di sana banyak buaya,afraid
hati hati aja kalo di sana banyak beling,afraid
jangan bawa obat ketek bubuk ke singepoh ya teman teman nantik ditangkap polisi ig sharoniaparuntu kena https,afraid
atut,afraid
ketakutan gue tadi mlem,afraid
ketaktan terus,afraid
gemeteran liatnya,afraid
gemeteran liatnya,afraid
mas mulu takut salah kalau manggil,afraid
tiap kedengeran gledek langsung celingak celinguk takut ema nongol,afraid
gak mau nanti kamu bosen,afraid
skip udah mulai deg degan,afraid
semoga kita selalu melakukan sesuatu tanpa kebanyakan tapi agar hidup tak membosankan dan banyak ketakutan selamat istirahat,afraid
jangan baper dia cuma takut kesepian,afraid
kenapa takuttt hey,afraid
takuut ahh,afraid
gamau ah takut,afraid
aksen itu nongol terus di timeline wey merinding,afraid
ada alex bubar ah takut makin seru,afraid
kadang suka bingung kalo lagi ambil duit di atm ambil dikit takut kurang dan bikin bolak balik mulu ambil banyak nanti mal,afraid
gak ah tacut,afraid
tacut,afraid
anak kedua nih udah 6 bulan gak ada tanda2 mau merangkak jadi khawatir,afraid
iya ya anak pertama juga merangkak cuma sebulan sampe sekarang kalau lari suka kesandung sendiri,afraid
takut anaknya jd tersingkir atau malu karena temen2nya anak pejabat pengusaha artis,afraid
seremmm,afraid
suka baca baca cerita setan tapi gak berani tidur sendiri ke kamar mandi sendiri ngambil minum malem malem ke dapur terus lari ngibrit ke kamar dasar aq,afraid
tolong buatkan video produksinya saya takut ini bukan kulit ayam tapi kulit sunat,afraid
orang facebook jangan sampe liat video ini,afraid
jangan sampe ya allah,afraid
jangan sampe amit amit,afraid
provider lagi gangguan gini tuh paling serem kalo ada yang minta tethering,afraid
semoga ga ada,afraid
semoga tidak terjadi,afraid
naga lg gundah gulana dan bisa di katakan ketakutan krn ada jendral menduduki posisi menag,afraid
takut diri sendiri tak rasa ikhlas dengan pasangan,afraid
baru kali ini degdegan nungguin paket,afraid
tau aja saya lagi gugup,afraid
ada angin apa subuh subuh tadi masak terus degdegan krn takut ga enak udah lama ga pernah masak soalnya pas mateng di cicipin kurang ini kurang itu tapi di bumbui lagi dan jadiiiii rasanya hmm ga enak sih tapi makan aja deh menghargai diri sendiri,afraid
sumpah lgi diem2 main hp tiba2 perasaan kek cemas khawatir takut muncul tangab gemetar jgn dtng pas ga lgi di rmh napa,afraid
aku paling atut ma ni tapi jgn ngumpet tah,afraid
soalnya emang ner bener nakutin futsal putra 2 taun lalu waktu masih maba pun nantang anak kajian bencana yg terkenal nyeremin sama barbarnya unexpectedly kita runner up,afraid
grogi emang kalo dekat lo serem,afraid
mana berani bro pengen d bedil ndase pow,afraid
abis ini aku stop dulu takutnya ad sharing ch dedek jun aku mau nabung freebies ch apa bikin event lg desembe,afraid
takut w cowok semua mana sksd semua,afraid
punya pala pusing ga punya pala serem,afraid
gelisah tapi ga bisa curhat takut dikira subversif,afraid
si ulin ini bencong juga di ajak ketemuan sama kawan di solo ngga berani datang,afraid
nunggu jumat ini sih jadi degdegan,afraid
jangan berubah aku gelisah,afraid
gemeteran aku denger cerita horornya,afraid
ada ya yg ngomong gitu serem amat,afraid
panik setengah mati,afraid
mental penjilat semua wkwkwk ngeri,afraid
kalo disuruh maju ke depan kelas pasti degdegan,afraid
serem bgt soalnya,afraid
yaallah ini anginnya kenceng bgt serem,afraid
iihhhh atut,afraid
jujur banyak banget ketakutan ini,afraid
mau cerita ah soal krmn malem balik sendiri abis nntn ptj sebelumnya gw gapernah nntn film horor jujur selain takut ya takut aja emang borangan sekalinya nntn ya pengabdi setan krn dulu hype bgt dan itu jg kaya abis naik korsel krn keringetan beres film jg riweuh lah,afraid
ga ah takut sakit,afraid
tapi karna aku takut kehilangan kamu,afraid
khawatir melihat sekitar penyesalan melihat ke belakang percaya melihat ke depan,afraid
ngamau takut a fail,afraid
mana berani alay,afraid
jan grogi gitu dong mentionan ama cogan,afraid
huh ibu klo marah serem amat,afraid
ambune ngeri,afraid
serem weh gilak sampe skrg masih takut gw,afraid
saat aku sedang khawatir atau sedang kesal atau ada sesuatu hal yang terjadi aku biasanya menceritakannya dengan d o,afraid
mimin jadi gemeteran,afraid
kecoa terbang adalah hewan paling menakutkan,afraid
penginnya gitu tp takut nyinggung aja bapaknya jg takutnya ngga dukung aku ngomong gitu di group bapaknya cupu,afraid
ga ada apa apa kan kak takut,afraid
saya ngga berani kasih saran ke panutannya idolgraper,afraid
hal yg paling bikin gw cemas ketika anak bungsu ngomong mom klo ambil rapot tinggal liat aplikasi gojek aja,afraid
ga berani bully gus,afraid
perubahan terkadang menakutkan tapi selama itu membuatmu menjadi pribadi yang dewasa kamu pun harus siap untuk menerimanya,afraid
takut mbah nur ngambek lagi,afraid
pantesan suasananya serem disana aku sering kasihan sama yang jualan casing dan kaos kaki di pinggir jalan itu,afraid
pengen petakumpat tpi takut hilang beneran,afraid
mesti dilaporin ke polisi takut ada korban selanjutnya,afraid
karna jarak jadi kalo cerita tb2 gitu takutnya diblg aneh gitu,afraid
fyaaahh fekaes udah panik duluan,afraid
masa iya proyek air ada hantu di wc serem amat nakut nakutin,afraid
jangan marah weh aku takut,afraid
panik bgt gabisa di apa apain laptopnya tadi wkw,afraid
ringtone nya nyeremin,afraid
hehe kenapasi kok pada segan gitu sama gue,afraid
jangan pada nervous gitu dong wkwk ntar gue ikutan nervous,afraid
wei mana berani aku,afraid
canggung,afraid
takutnya gitu wkwkwk,afraid
takut nanti lo jadi kaya stad,afraid
kayaknya cm gue yg gampang ke trigger abis nonton film horor cerita mistis,afraid
kalau nanti kinerja menteri yg menggantikan ibu 1susipudjiastuti tidak berani mengambil tindakan,afraid
faaakkk serem banget,afraid
itu kalau lagi cemas khawatir parnonya berlebihan loh,afraid
sangat menakutkan tapi senyumnya indah,afraid
aku ga berani itu liat lama lama,afraid
sumpah anjir pas tau tod auranya langsung serem,afraid
nyeremin amat y cewe tinder,afraid
hiaaaa kok makin merinding,afraid
gua ketakutan liat dia kesurupan,afraid
sampe skrg masih ngerasa canggung euyyy,afraid
nutup mata aja takut imajinasi ku nyeremin aduh aku kenapa,afraid
serem ih,afraid
eeee ayam jantan lagi menakutkan dgn dia punya taji lagi akuttt titew hhaha,afraid
takut ditinggal gitu trauma masa lalu,afraid
mana berani si ulin dia kan satu kolam ama 1abirekso,afraid
sumpah ih ini pacar siapa sih serem banget kayak gak dikasih makan,afraid
muka lu serem,afraid
nha takutnya usus nya kena angin,afraid
takut polisi,afraid
hanya seorang pecundang yang tidak berani mengungkapkan perasaan cintanya kepada orang yang dicintai,afraid
gue baru lihat ini dan degdegan anjir,afraid
aku tidak berani mengakuinya,afraid
ah mauuu tp ngeri sendirian,afraid
tbtb khawatir dia knp knp,afraid
ga berani komentar banyak ngajiku belom sampe situ,afraid
yaampon kebo kalo tidur kok serem ya setengah melek bangun wey udah malam,afraid
bukannya apa apa diawal aja nervous bgt kl beliau nanya,afraid
gemeteran kaki gue ya ampun bikin anak orang nangis semerasa bersalah ini,afraid
mau nyobain wkwk tapi takut,afraid
duh sumpah aku jadi takut,afraid
ava gue ngapa nyeremin gini,afraid
nyeremin aja fondasinya kan melengkung gitu,afraid
perasaan takut agar kamu bisa menikmati hidup,afraid
baru kali ini ngerasain takut yang bener bener takut,afraid
takut buat ngebentak takut buat kasarin takut buat nyakitin dan takut buat ngerusak,afraid
serem bgt,afraid
nonton yang begini nilai rapor matematika sy menangis ketakutan,afraid
aku ga berani nonton mv nya winner masa,afraid
takutnya saat pengin suicide nyalahinnya gua,afraid
aku ngga berani di rumah sendiri mendengarkan musik volume full,afraid
lu serem kalo ngamu,afraid
luhut mana berani sama prabowo,afraid
pengen banget ngajak dia balikan tapi untuk ngeliat mukanya aja masih takut,afraid
ngeri binggoww kalau udah begini tu ya,afraid
ga berani liat fakta hari ini dan menentukan tindakan apa yg harus diambil,afraid
ketakutan terbesar,afraid
takutnya nak test kejap lagi,afraid
gue mana berani begini,afraid
duh takut ngigo tiba2 bikin peraturan dadakan kaya tahu buled,afraid
tegang bener mukanya,afraid
takut setem pun dapat airtime,afraid
temen gue galak ih serem,afraid
njir nyeremin,afraid
masih karna gugup gitu wkwk,afraid
setelah sekarang cinta sama kamu aku jadi bener2 takut kehilangan kamu kamu emang menakutkan,afraid
ngelampiasin ke kita kan serem,afraid
duhh ga berani kalo yang itu wkwk,afraid
ini gw yang pagi pagi udah ditagih deadline kerjaan aja udah bikin gelisah,afraid
suara wiu wiu takut eeuy,afraid
mana ada yang berani gantungin gue orang gak ada yang mau sama gue,afraid
serem amat ul jugujug masuk kdpn rmh gitu,afraid
sampe2 prabowo aja minder takut salaman,afraid
lah iya kok serem,afraid
baru malem jumat kemarin pintu depan rumah ada yg ngetok2 tp kayaknya orang sih soalnya ada suara motornya tp tetep aja serem,afraid
fokusnya ke radikalisme sy khawatir prabowo malah yg dimanfaatkan,afraid
aku juga masih susah ilangin takutnya cuma harus berani cha dikit sikit agar supaya tidak dihantui atau terbayang aneh aneh,afraid
tkut mantan itu kamu non,afraid
takut banjir mobil gabisa lewat,afraid
aku ga berani pake cabe nanti sakit perut,afraid
sampe grogi yang mau finishing,afraid
anjr degdegan sendiri,afraid
untuk meletakkan secuil harapanpun aku tidak berani,afraid
serem juga sih inget mukanya dulu dataaaar banget,afraid
ih anjayy serem,afraid
takut bilang sayang,afraid
resiko untuk diterima atau ditolak sama nyeremin mas beneran,afraid
tegang sy memang,afraid
temen sekelas gue make extension ko jd serem dah anj,afraid
takut aku kak nnti lah habis melahirkan jak pake ny,afraid
jadi takut salah sasaran wkwk,afraid
aku makin takut kehilangan kamu,afraid
mana penguji nya serem bgt kaya malaikat maut,afraid
takutnya itu cuma settingan aja eo,afraid
kok gelisah gini ya takut banget,afraid
sedikit cemas banyak akabrinya,afraid
yeonjuunn bajunya dibenerin dulu nuna takut kamu masuk angin,afraid
iya lah aku yang punya mana ada yg berani ngambil,afraid
ingin bertindak sama tetapi takut sial takutnya malah kena amuk orgnya,afraid
serem bgttt depan pintu kamar,afraid
ya allah nervous ku esok ani,afraid
hal yang paling menakutkan dalam cinta adalah kehilangan orang yang paling kita cintai,afraid
serem anjir masa lembek,afraid
atut akuuuuuu,afraid
kenapa horor banget sih dosenku,afraid
oktober menakutkan banget kegiatannyaaa chuy,afraid
takut di grepe grepe sama adek gw,afraid
serem tapi gak parah dan sedih dikit,afraid
beneran ngg ada baraninya ini manusia,afraid
ngeri angkat tangan gue,afraid
esok physio yg menakutkan,afraid
anin nyeremin bangeeeet,afraid
takut sm es ny,afraid
dulu orang takut bicara kebohongan sekarang orang takut bicara kebenaran kebebasan berpendapat bisa begitu menakutkan bagi sebagian orang,afraid
dia ga berani bully prabowo lg jd mencari objek yg lainnya mas,afraid
pak prabowo takut jatuh hati barangkali bro,afraid
menakutkan tau diorang ni dengar apa,afraid
lama lama nyeremin tkt gua,afraid
boleh kakk cuma takutnya yang dipinjemin kupingnya kotor gituuu,afraid
kok nyeremin,afraid
saya cukup jd sekertaris aja pak ngeri kalo jadi istri ke3 takut diamuk istri tua,afraid
kalo dichat takutnya ga dibales neng,afraid
kmrn aku nangis taku,afraid
kamu ada hanya tidak pernah berani aku sapa saja,afraid
tapi aku takut usia ku sudah tidak lama lagi,afraid
temanya rada rada horor nih hahaha,afraid
jantung aku masih berdebar debar sebab nampak tikus besar melintas depan aku tadi weh besar gila takut aku,afraid
serem amat sih bocah sekarang,afraid
ini adalah uneg uneg gua yang ga berani gua keluarkan karena ngeri dikira salty pengen banget banget banget paini dinyayiin haechan,afraid
gugup gua kalo ngomong di depan,afraid
daritadi coba mikir positif terus dzikir terus tapi tetep khawatir gak henti cemas berlebih,afraid
ngeri coyyy itu yang jaga kelihatan kayak amatir gitu wkwk,afraid
mana mungkin mmd berani menangkap orang yg digantikannya wiranto,afraid
parkiran gedung ini horor banget,afraid
kenyataan lebih menakutkan,afraid
baru pertama kali nonton pied piper pake sub sumpah merinding serem aku udah tau salah tapi tetep ngelakuin,afraid
serem banget sumpah,afraid
saat cemas dan overthinking menyerang sesak rasanya,afraid
aku ga berani kalo kucing menyusui,afraid
weeeee nyeremin banget mereka,afraid
serem ngagetin sedih,afraid
ga ah takut ga kuat,afraid
kucing nyeremin ya malam gini,afraid
degdegan banget aku hari ini disuruh ngambil sk,afraid
takut ih tar jdny mlh rebutan sm anak w,afraid
takut kalau aku nyakitin orang garagra aku mau dijodohin dan aku ninggalin dia,afraid
gatauu takut aja gitu,afraid
baru mulai aja ud nyeremin bgt ini orang,afraid
udaaah degdegan bgt pas download nua,afraid
lebih menakutkan dari hantoo,afraid
canggung bgt si ew,afraid
moso muka horor suruh nonton horor terus yo tambah horor,afraid
takut apaan pasrahkan,afraid
karena mereka sungkan krna ga kenal ya mereka diem aja biasanya eh pas pulang malah lgsg di pel krna takut najis,afraid
yaallah kok nakutin,afraid
merinding di rumah tua itu,afraid
bukan apa2 takut nular cuuy,afraid
ini ada hantu yg nyeremin,afraid
bgst auto panik wkwkwkw,afraid
dari aku yang doyan pedas sampai yang udah ga berani makan pedas lagi,afraid
rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan karena tidak ada risiko kecelakaan bagi seseorang yang sudah mati,afraid
ngga berani claim ato beli karena tau disini kagak ada,afraid
aku ngga berani,afraid
panik gua fikir lu kesurupan,afraid
mau nyobain juga tapi mana berani aku,afraid
nanti jatuhnya canggung wkwk,afraid
panda posisi tidur nya selalu bikin panik kirain mati,afraid
mana mau dan berani keluar negeri,afraid
ada yg mulai ketakutan dengan pak m tito karnavian,afraid
ya allah degdegan banget,afraid
menyerah terhadap dirisendiri itu sangat menakutkan,afraid
serem ga tuh,afraid
ketik hapus ketik hapus asli aku ngga berani takut sok,afraid
cuma takut aja kok,afraid
klo kejadian lgi mending langsung nanya pak ustad aja,afraid
ngeri ih knapa tiba ikutan nimbrung,afraid
hati hati andiin serem bangeet,afraid
takut ada yang engga gue lakukan heuheu,afraid
serem weh gilak sampe skrg masih takut gw,afraid
aku ga berani itu liat lama lama,afraid
tidurnya jangan bentar bentar gitu ah gak baik buat kesehatan aku cemas nih,afraid
buka tutup wa dengan gelisah berdoa terus,afraid
ga ahli karena takut salah,afraid
tp tetap aku tidak berani untuk melihatnya lagi aku tdk mau pedih berkali2,afraid
jam segini mana serem klo nonto film horor mbak,afraid
aku takut akan menyayangimu lagi,afraid
yaiya serem cuy,afraid
serem bgt dah emg kalo buka pintu kostan ada aja yg tbtb masuk,afraid
si bapak mana berani frontal kek bekyun,afraid
horor banget pak,afraid
belakangan ini suka bgt mimpi random yg amat random serem knp ya,afraid
aku cuma takut ada seseorang yg diam diam bangun di sepertiga malam nya dan mendoakan kamu berjodoh dengan nya,afraid
perihal hati sudah lupa rasa jatuh hati berharap pun sudah tidak berani,afraid
pernah anjiirr pas jam 1an malam pass dimess rasanya kaya di perkosa mau teriakk malu gakteriak merinding,afraid
5jam kemudian aku apus karna takut jd tiktokan mulu,afraid
mau ke jogja ka adek aky lg bandel aku ngga berani ke sana karena uang ngepas ngga tau lagi itu anak bikin ortu sedih terus,afraid
saking takutnya sama kucing kalo mimpi buruk yang dateng bukan setan tapi kucing yang bulunya nempel ke kulittt seremmmmmm,afraid
misi jantungku berdebar debar ini doi nge gas parah gua malah oon seketika,afraid
iya dia emang ahli nerakeu makanya emg menakutkan,afraid
ketakutan yg amat sangat,afraid
rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan karena tidak ada risiko kecelaka,afraid
ok dok aku ga ngerti makanya tadi nanya dulu takut salah ngomong dok,afraid
sudah mulai ketakutan dan berdiskusi dengan calon suami kamu di whatsapp ya selamat penasaran sepanjang hari hahahaha,afraid
demi apapun degdegan bgt pagi ini,afraid
iyaa makanya aku takut hahaha dia kan suka ngilang trus tiba2 keluar bikin kita pusing,afraid
hah jd agak ngeri juga kalo punya temen yg terlalu baik,afraid
serem banget anjir sejauh ituu woy dari stage,afraid
karena cowok playboy nakutin,afraid
anjiir knp gw deg degan takut tau kenyataan nya,afraid
tapi sekarang susah banget buat ngontrol emosi takut banget kejadian yang lalu keulang lagi,afraid
tapi belum berani ngungkapin takut doinya berubah sikap ntar belum siap kalo dia ngejauh ehe,afraid
cabut aja lah anjir nyeremin maung kaya begitu,afraid
yaampun gan ngeri juga ajakan anda,afraid
lah rambut kamu sepanjang apa sih serem amat,afraid
kok canggung yah bahakakakakakkk,afraid
yang ketiga makin serem dong udah kayak ditinggal pas lagi sayang sayangnya nakutin,afraid
horor pokoknya mah,afraid
waktu itu grogi banget pas mau naik podium buat bawain sambutan,afraid
km semakin malem semakin nakutin,afraid
gak tau aku takut hamil,afraid
ih aku atut banet,afraid
eee takutnya nakpi hosp,afraid
sedikit cemas banyak rindunya,afraid
kalau gak di ajak paham takutnya orang2 cuma tau kalau yg lagi gue lewatin tuh di anggap mudah,afraid
seharian kalau dikos tapi dirumah mana berani,afraid
met pagi 1 admin jongsuk yg w udah ga berani mensyen but tetap i sukai,afraid
keadaan yang paling menakutkan selain terlupakan adalah memaksa diri untuk melupakan,afraid
wuuu takutnya nerd keding nii nak bantai aku,afraid
horor banget,afraid
yg view serem,afraid
ni bocah bukannya nyemangatin malah nakutin wkkw,afraid
menempatkan aura kasih sebagai pemeran utama kelam mengantarkan kisah horor dibalik dinginnya hubungan ibu dan anak,afraid
ningning jangan kecepetan gede plis aku takut,afraid
pengen bongkar laptop sendiri tapi takut gak bisa masangnya lagi,afraid
lebih panik daripada siang skripsi allah beranikan hambamu yaallah,afraid
pengen buat tapi apaya takut receh kek org2,afraid
ngeri bos judulnya,afraid
menakutkan,afraid
mending jgn mbak takutnya populasi zomblo garis lucu yg tersinggung bisa gaswat,afraid
takut besok udah gk ada,afraid
serem singa aku ga berani dkt dkt,afraid
gue ngga berani,afraid
lah mana dia berani,afraid
servis resmi aja biar lebih terpercaya kalau konter biasa takutnya suku cadang kurang bagus dan rusak lagi jd servis lg,afraid
serem amat itu pelecehan seksual di acara konser musik,afraid
doain ya gua mau uts praktikum lab fisika degdegan soalnya rumus semua,afraid
njir serem amat,afraid
ga berani juga lewat lintas sumatra malem malem hehe,afraid
hantu itu ngeri banget keliatannya,afraid
celsi kalo ditonton suka grogi mainnya macem anak sma,afraid
kadang harus gitu eonnie kalo dikeluarin semua takutnya ga baik buat diri sendiri khususnya,afraid
segan gue sama dia,afraid
nahkan serem,afraid
kamu kalo ngantuk nyeremin ksk maung,afraid
hal yang menakutkan setelah buka instagram dan youtube adalah cek kuota internet,afraid
aku nervous ni,afraid
ngantuk kepikiran takut mati,afraid
aku jd kaya anak kecil yg takut ditinggalin kl lagi sekolah,afraid
edan serem juga,afraid
mau minum ngga berani ke dapur,afraid
serem sedih campur adukk,afraid
takut aja entar aku kena tuntut,afraid
aku cuma takut ketipu udah itu aja,afraid
mimpi kok serem amat dijadiin tersangka pembunuhan padahal aku ga bunuh siapa siapa terus berusaha menyakinkan keluarga dan sahabat trs kepikiran kalo udah jadi tersangka nanti di penjara kayak orange is the new black gimana trs pas keluar ga gampang cari kerja,afraid
aku adalah pemimpi yang tidak takut untuk mewujudkannya,afraid
berpikir keras mau join ateezsq apa tidak takutnya makin bodor ntar,afraid
heee apa tida mau ke dokter coba periksain hari ini takutnya makin parah,afraid
ngga berani ketemu orang rumah,afraid
emotnya nyeremin,afraid
mana berani w kaya gini wkwkkwkw,afraid
coba kek gue mana berani lu baku hantam,afraid
gak jadi nonu ambil kemarin ngeri,afraid
yang menakutkan menjijikan kadang terlihat indah tergantung dari sudut mana kita meliha,afraid
hari ini ada training di radio aku degdegan,afraid
no way wkwkk mana berani aku cht gtu ke dia,afraid
aku takut salah,afraid
pusing banget kepala gue ngurus ginian tapi degdegan juga sih kalo dulu mana kebayang gue beli begituan,afraid
yeu jadi grogi diliatin model begituan,afraid
lah mana berani mental tempe gini,afraid
apa daya si kentang ini mana berani ngirim gituan ke crush,afraid
takut banget uts yarob,afraid
tp nenek gue emg kek nyeremin gtu kek punya kembaran gtu lah tp gue sih udh biasa hal itu cuma kadang masih ad rasa takut sm trauma aja,afraid
menguatkan hati untuk buka takut takut dia posting sama cewe baru ternyata bukan,afraid
